customer_code,product_code,plan_code,report_date,units_used,included_units,load_ts
CUST-001,PROD-API,PLAN-BASIC,2025-09-15,900,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-16,1100,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-17,1500,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-18,800,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-19,1200,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-20,1000,1000,2025-09-21 12:00:00
CUST-001,PROD-API,PLAN-BASIC,2025-09-21,700,1000,2025-09-21 12:00:00

CUST-002,PROD-API,PLAN-PRO,2025-09-15,1800,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-16,2300,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-17,2600,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-18,1900,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-19,2100,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-20,2400,2000,2025-09-21 12:00:00
CUST-002,PROD-API,PLAN-PRO,2025-09-21,1700,2000,2025-09-21 12:00:00

CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-15,48000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-16,51000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-17,62000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-18,30000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-19,45000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-20,80000,50000,2025-09-21 12:00:00
CUST-003,PROD-ETL,PLAN-ETL-100K,2025-09-21,52000,50000,2025-09-21 12:00:00

CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-15,30,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-16,45,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-17,0,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-18,20,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-19,25,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-20,50,0,2025-09-21 12:00:00
CUST-004,PROD-ALRT,PLAN-ALRT-STD,2025-09-21,15,0,2025-09-21 12:00:00

CUST-005,PROD-API,PLAN-BASIC,2025-09-15,600,1000,2025-09-21 12:00:00
CUST-005,PROD-API,PLAN-BASIC,2025-09-16,950,1000,2025-09-21 12:00:00
CUST-005,PROD-API,PLAN-BASIC,2025-09-17,1050,1000,2025-09-21 12:00:00
CUST-005,PROD-API,PLAN-BASIC,2025-09-18,990,1000,2025-09-21 12:00:00
CUST-005,PROD-API,PLAN-BASIC,2025-09-19,1200,1000,2025-09-21 12:00:00
CUST-005,PROD-API,PLAN-BASIC,2025-09-20,700,1000,2025-09-21 12:00:00
